uid, cores, ExecutingPending, AgentStagingOutput, PendingInputStaging, FAILED, StagingInput, StagingOutput, Executing, AgentStagingInputPending, Done, AgentStagingOutputPending, AllocatingPending, New, Allocating, AgentStagingInput, PendingOutputStaging,
unit.000018, 8, 144.209500074, 446.13830018, 143.413399935, 447.274500132, 143.975199938, 446.696799994, 144.219099998, 144.000299931, 446.722100019, 446.130599976, 144.216599941, 143.286600113, 144.209300041, 144.210000038, 446.204500198
unit.000019, 8, 144.194100142, 530.999900103, 143.544500113, 534.337500095, 143.924700022, 532.002199888, 144.197600126, 143.949700117, 532.027499914, 530.994899988, 144.200900078, 143.41779995, 144.193800211, 144.17320013, 531.00330019
unit.000030, 8, 449.342100143, 751.848400116, 145.029799938, 756.089800119, 145.153199911, 753.055900097, 449.350399971, 145.178299904, 753.081199884, 751.84100008, 145.367300034, 144.903000116, 145.360200167, 145.360500097, 751.8756001
unit.000031, 8, 474.793800116, 856.468300104, 145.162199974, 858.38499999, 145.203700066, 856.829400063, 474.7973001, 145.228800058, 856.854899883, 856.460599899, 145.381299973, 145.035099983, 145.373900175, 145.375099897, 856.54700017
unit.000036, 1, 536.156100035, 537.415700197, 534.538700104, 541.487200022, 535.080199957, 539.07130003, 536.159699917, 535.105499983, 539.87680006, 537.407999992, 536.162899971, 534.411600113, 536.155800104, 536.153899908, 537.503800154
unit.000037, 1, 545.356200218, 546.63620019, 544.908299923, 551.043299913, 545.192600012, 547.146800041, 545.359699965, 545.218100071, 547.967900038, 546.628499985, 545.362999916, 544.767100096, 545.355900049, 545.357500076, 546.725000143
unit.000034, 1, 470.364900112, 471.691800117, 469.08220005, 475.168299913, 469.332600117, 472.087800026, 470.368299961, 469.35800004, 472.887399912, 471.683900118, 470.371700048, 468.955199957, 470.364600182, 470.363899946, 471.721700191
unit.000033, 1, 451.960800171, 453.155500174, 450.329900026, 456.435600042, 450.805299997, 453.727400064, 451.96420002, 450.830699921, 454.566999912, 453.147500038, 451.967600107, 450.202500105, 451.960500002, 451.96239996, 453.183300257
unit.000010, 1, 136.957300186, 140.291100264, 125.2026999, 143.048799992, 125.400700092, 142.021899939, 136.960700035, 125.425699949, 142.046900034, 140.25880003, 136.963999987, 124.639800072, 136.957000017, 136.941699982, 140.294300079
unit.000011, 1, 136.633700132, 140.264100075, 124.851200104, 143.099600077, 125.046999931, 141.818399906, 136.640399933, 125.072099924, 141.843499899, 140.255800009, 136.636699915, 124.641599894, 136.633300066, 136.597700119, 140.267500162
unit.000012, 1, 136.812300205, 140.279700041, 125.052299976, 143.150500059, 125.24909997, 141.970200062, 136.815799952, 125.274100065, 141.995399952, 140.257600069, 136.819000006, 124.643300056, 136.812000036, 136.796999931, 140.282800198
unit.000013, 1, 136.857900143, 140.283500195, 125.102400064, 143.200999975, 125.299499989, 141.97149992, 136.861400127, 125.324599981, 141.996599913, 140.257999897, 136.864700079, 124.644999981, 136.857600212, 136.842700005, 140.286600113
unit.000014, 1, 136.675900221, 140.268200159, 124.901400089, 143.251399994, 125.097599983, 141.868999958, 136.67930007, 125.122699976, 141.894099951, 140.256400108, 136.682600021, 124.646699905, 136.675600052, 136.660900116, 140.271300077
unit.000015, 1, 136.905500174, 140.28730011, 125.152499914, 143.302000046, 125.349999905, 142.020900011, 136.90899992, 125.375200033, 142.046099901, 140.258399963, 136.91230011, 124.648400068, 136.90530014, 136.8901999, 140.290400028
unit.000016, 8, 446.134200096, 785.720300198, 143.15109992, 789.873100042, 144.076800108, 787.197000027, 446.137599945, 144.101799965, 787.22239995, 785.712599993, 144.255100012, 143.022900105, 144.247800112, 144.247999907, 785.780200243
unit.000017, 8, 144.202200174, 541.020800114, 143.282099962, 544.682300091, 143.925100088, 542.351200104, 144.208899975, 143.950200081, 542.376399994, 541.015899897, 144.209300041, 143.155699968, 144.201900005, 144.201699972, 541.025600195
unit.000008, 1, 136.789300203, 140.318200111, 125.027100086, 143.504699945, 125.199300051, 142.224100113, 136.792900085, 125.224299908, 142.249200106, 140.26150012, 136.796000004, 124.636100054, 136.789000034, 136.774399996, 140.321200132
unit.000029, 8, 785.715900183, 1085.06120014, 144.897900105, 1088.75079989, 145.304800034, 1085.70180011, 785.719700098, 145.329900026, 1085.7269001, 1085.05640006, 145.563499928, 144.770999908, 145.556200027, 145.556999922, 1085.10090017
