uid, ExecutingPending, AgentStagingOutput, PendingInputStaging, FAILED, StagingInput, StagingOutput, Executing, AgentStagingInputPending, Done, AgentStagingOutputPending, AllocatingPending, New, Allocating, AgentStagingInput, PendingOutputStaging, 
unit.000021, 124.296599865, 127.389799833, 112.301099777, 129.475399733, 112.423499823, 128.380699873, 124.41689992, 112.448699713, 128.405799866, 127.386600018, 124.29460001, 111.24609971, 124.296299934, 124.286900043, 127.393299818, 
unit.000020, 124.279999971, 134.170099974, 112.250499725, 136.303599834, 112.37259984, 135.312999725, 124.396600008, 112.39779973, 135.338099718, 133.811500072, 124.278000116, 111.244299889, 124.279799938, 124.269799948, 134.199199915, 
unit.000023, 123.862299919, 133.746299982, 111.59469986, 137.126899719, 111.712099791, 134.653799772, 123.895299911, 111.737099886, 134.678899765, 133.306699991, 123.831200123, 111.248999834, 123.862099886, 123.823899984, 133.755099773, 
unit.000022, 123.860399961, 133.592000008, 111.544199944, 137.178099871, 111.661099911, 134.603099823, 123.875200033, 111.68599987, 134.628299713, 133.305299997, 123.815099955, 111.24759984, 123.860199928, 123.808099985, 133.64049983, 
unit.000065, 145.067800045, 807.991699934, 143.787799835, 813.885499716, 144.084599733, 808.294399738, 145.069499969, 144.109699726, 813.420099735, 807.950000048, 145.065400124, 143.660299778, 145.067499876, 145.013799906, 808.011799812, 
unit.000159, 1460.55779982, 1462.11879992, 1459.59499979, 1466.29079986, 1460.06759977, 1463.05949974, 1460.55939984, 1460.0927999, 1463.08459973, 1462.11870003, 1460.55550003, 1459.46759987, 1460.55760002, 1460.54520011, 1462.14549994, 
unit.000158, 1440.50239992, 1452.30599999, 1439.33779979, 1459.37889981, 1439.53809977, 1453.72469974, 1440.5079999, 1439.56329989, 1456.8736999, 1452.30180001, 1440.49550009, 1439.11629987, 1440.50160003, 1440.08120012, 1452.3434999, 
unit.000092, 148.969899893, 854.712099791, 147.400599718, 864.349299908, 147.875099897, 855.437699795, 148.971699953, 147.900499821, 861.8197999, 854.711899996, 148.967299938, 147.272699833, 148.969599962, 148.941600084, 854.751399994, 
unit.000093, 149.00999999, 896.544299841, 147.536099911, 903.338399887, 147.875699759, 897.116199732, 149.011699915, 147.900999784, 902.896399736, 896.54399991, 149.007300138, 147.406099796, 149.009699821, 148.968400002, 896.575399876, 
unit.000094, 149.954999924, 917.900599957, 148.395299911, 924.457599878, 148.9526999, 919.018599749, 149.956799984, 148.97789979, 924.231299877, 917.900399923, 149.952500105, 148.267599821, 149.954699993, 149.897400141, 917.952600002, 
