uid, cores, executable, ExecutingPending, AgentStagingOutput, PendingInputStaging, FAILED, StagingInput, StagingOutput, Executing, AgentStagingInputPending, Done, AgentStagingOutputPending, AllocatingPending, New, Allocating, AgentStagingInput, PendingOutputStaging,
unit.000018, 8, gmx mdrun, 133.685199976, 512.200500011, 132.272300005, 515.444000006, 132.923799992, 514.081199884, 133.685799837, 132.948899984, 514.106599808, 512.193999767, 133.686100006, 132.145299911, 133.684999943, 133.65109992, 512.227800131
unit.000019, 8, gmx mdrun, 133.725499868, 439.847200155, 132.403499842, 440.403599977, 132.967899799, 440.213899851, 133.725999832, 132.992899895, 440.238999844, 439.840599775, 133.726300001, 132.276699781, 133.725199938, 133.686800003, 439.871700048
unit.000010, 1, gmx grompp, 122.267099857, 130.665600061, 110.881999969, 132.343999863, 111.252999783, 131.629499912, 122.26789999, 111.278099775, 131.664499998, 130.250899792, 122.267799854, 110.367999792, 122.266900063, 122.247499943, 130.696500063
unit.000011, 1, gmx grompp, 122.118499994, 130.239500046, 110.703799963, 131.98939991, 111.050799847, 130.957199812, 122.119199991, 111.075999975, 130.982299805, 130.145499945, 122.118999958, 110.368999958, 122.118200064, 122.098199844, 130.248000145
unit.000012, 1, gmx grompp, 122.288399935, 130.380900145, 110.907099962, 132.040299892, 111.254399776, 131.159399986, 122.289099932, 111.279599905, 131.184599876, 130.147099972, 122.288999796, 110.370099783, 122.288100004, 122.268599987, 130.389400005
unit.000013, 1, gmx grompp, 122.012199879, 130.158200026, 110.576999903, 132.091199875, 110.948599815, 130.855699778, 122.015999794, 110.973799944, 130.881099939, 130.144499779, 122.008799791, 110.371099949, 122.011800051, 121.977799892, 130.181900024
unit.000014, 1, gmx grompp, 122.20359993, 130.273499966, 110.806699991, 132.141599894, 111.152499914, 131.05829978, 122.204399824, 111.17779994, 131.083299875, 130.146299839, 122.204299927, 110.371999979, 122.203399897, 122.183899879, 130.297199965
unit.000015, 1, gmx grompp, 122.096699953, 130.434999943, 110.678599834, 132.293499947, 111.049899817, 131.260599852, 122.097499847, 111.074899912, 131.285699844, 130.147899866, 122.097299814, 110.372900009, 122.09649992, 122.076299906, 130.465399981
unit.000016, 8, gmx mdrun, 429.119999886, 725.243000031, 132.007499933, 726.962499857, 133.075399876, 726.683099985, 429.12079978, 133.100699902, 726.708299875, 725.236199856, 134.018999815, 131.880399942, 134.018100023, 133.940500021, 725.284399986
unit.000017, 8, gmx mdrun, 133.649800062, 470.317199945, 132.139499903, 474.894699812, 132.917499781, 471.883399963, 133.650599957, 132.942599773, 471.908499956, 470.307899952, 133.650399923, 132.012399912, 133.649499893, 133.613199949, 470.360399961
