uid, cores, executable, UMGR_STAGING_INPUT, UMGR_SCHEDULING, AGENT_STAGING_OUTPUT_PENDING, UMGR_STAGING_OUTPUT, AGENT_EXECUTING_PENDING, AGENT_EXECUTING, AGENT_STAGING_OUTPUT, DONE, AGENT_STAGING_INPUT, UMGR_STAGING_INPUT_PENDING, NEW, UMGR_STAGING_OUTPUT_PENDING, AGENT_STAGING_INPUT_PENDING, UMGR_SCHEDULING_PENDING,
unit.000018, 1, gmx grompp, 594.249899864, 605.046099901, 613.973500013, 616.63499999, 605.046399832, 605.04550004, 615.1256001, 616.665699959, 605.024000168, 594.122900009, 590.6954, 615.157200098, 594.27489996, 605.043400049
unit.000019, 1, gmx grompp, 594.965600014, 605.655999899, 614.084599972, 617.255599976, 605.656399965, 605.655600071, 615.975899935, 617.280799866, 605.631700039, 594.813299894, 590.696299791, 615.983999968, 594.990700006, 605.65320015
unit.000010, 1, gmx grompp, 595.218499899, 605.861299992, 614.18840003, 617.458999872, 605.86169982, 605.860899925, 616.19810009, 617.484200001, 605.83920002, 595.065999985, 590.687999964, 616.279000044, 595.244599819, 605.858500004
unit.000011, 1, gmx grompp, 593.742499828, 604.592999935, 613.466799974, 616.38049984, 604.593400002, 604.592700005, 614.863399982, 616.405699968, 604.562400103, 593.591399908, 590.688899994, 614.905499935, 593.767599821, 604.590200186
unit.000012, 1, gmx grompp, 593.793599844, 604.654699802, 613.259900093, 616.051999807, 604.655099869, 604.654299974, 614.28730011, 616.077199936, 604.631500006, 593.667099953, 590.689899921, 614.296999931, 593.818699837, 604.651900053
unit.000013, 1, gmx grompp, 593.894399881, 604.731299877, 613.261399984, 616.107599974, 604.731599808, 604.730799913, 614.34649992, 616.132799864, 604.708899975, 593.743299961, 590.690799952, 614.355099916, 593.919499874, 604.728399992
unit.000014, 1, gmx grompp, 593.388899803, 604.250599861, 613.469700098, 616.533199787, 604.25090003, 604.250100136, 615.058700085, 616.558300018, 604.227300167, 593.264899969, 590.691699982, 615.066900015, 593.414099932, 604.247699976
unit.000015, 1, gmx grompp, 593.844299793, 604.71089983, 613.154299974, 614.770900011, 604.711199999, 604.710600138, 614.035700083, 614.795899868, 604.673300028, 593.717700005, 590.692600012, 614.055999994, 593.869399786, 604.707900047
unit.000016, 1, gmx grompp, 594.097199917, 604.922399998, 613.260800123, 616.102799892, 604.922699928, 604.921900034, 614.307300091, 616.13139987, 604.900600195, 593.971099854, 590.693499804, 614.345799923, 594.122499943, 604.91960001
unit.000017, 1, gmx grompp, 594.198299885, 604.981899977, 614.078900099, 616.921799898, 604.982299805, 604.981600046, 615.468400002, 616.946699858, 604.960299969, 594.047099829, 590.694399834, 615.518599987, 594.223500013, 604.979099989
unit.000083, 1, gmx grompp, 595.117299795, 605.779599905, 614.190799952, 617.612099886, 605.779999971, 605.779200077, 616.377399921, 617.637399912, 605.755800009, 594.965099812, 590.756799936, 616.407700062, 595.142399788, 605.776800156
unit.000082, 1, gmx grompp, 594.350999832, 605.121799946, 613.976200104, 616.793499947, 605.122200012, 605.121500015, 615.28399992, 616.819299936, 605.084200144, 594.199199915, 590.755899906, 615.335500002, 594.376199961, 605.118800163
