uid, cores, executable, AgentStagingOutput, PendingInputStaging, StagingInput, StagingOutput, FAILED, AgentStagingInputPending, Done, AllocatingPending, New, AgentStagingInput, PendingOutputStaging,
unit.000018, 8, gmx mdrun, 18532.3362999, 16425.9995999, 16426.7447, 18532.6998999, 18533.2491, 16426.7700999, 18532.7251, 16426.9849999, 16425.8722999, 16426.9819999, 18532.4155998
unit.000019, 8, gmx mdrun, 18928.8648999, 16426.1334999, 16426.7535999, 18929.6873999, 18932.7095001, 16426.7788, 18929.7124999, 16426.9884999, 16426.006, 16426.9856999, 18928.9277999
unit.000010, 1, gmx grompp, 16420.8249998, 16401.4825001, 16401.7556999, 16422.5323, 16426.1057, 16401.7807, 16422.5574999, 16412.3578999, 16401.1708999, 16412.3548, 16420.8318999
unit.000011, 1, gmx grompp, 16420.9729998, 16401.4068999, 16401.6550999, 16422.684, 16425.7979, 16401.6801999, 16422.7091, 16412.3344998, 16401.1726, 16412.3311, 16421.0125999
unit.000012, 1, gmx grompp, 16420.8776, 16401.6338, 16401.9071999, 16422.6259999, 16426.3601999, 16401.9322, 16422.6510999, 16412.3852999, 16401.1743, 16412.3807998, 16420.9121997
unit.000013, 1, gmx grompp, 16421.0617998, 16401.4574001, 16401.7056999, 16422.7853999, 16425.9001999, 16401.7307, 16422.8104999, 16412.3539999, 16401.1759999, 16412.3497999, 16421.0852997
unit.000014, 1, gmx grompp, 16420.9128997, 16401.6842999, 16401.9575999, 16422.6334999, 16425.9512, 16401.9826, 16422.6585999, 16412.3936999, 16401.1775999, 16412.3899999, 16420.9357998
unit.000015, 1, gmx grompp, 16420.7741997, 16401.4321001, 16401.7052, 16422.5246999, 16426.0019, 16401.7302999, 16422.5499001, 16412.349, 16401.1793001, 16412.3353, 16420.8242998
unit.000016, 8, gmx mdrun, 18963.5432999, 16422.7609, 16423.6141, 18964.6817, 18967.5774, 16423.6394999, 18964.7068999, 16423.8110998, 16422.6329, 16423.8082998, 18963.5868998
unit.000017, 8, gmx mdrun, 18870.0310998, 16425.8669, 16426.8546, 18870.8815999, 18873.0337, 16426.8796999, 18870.9066999, 16427.1345999, 16425.7397001, 16427.1317999, 18870.0842998
unit.000050, 1, python, 18683.2974999, 18680.5402999, 18680.6343999, 18684.7411001, 18686.6150999, 18680.6594999, 18685.5344, 18681.1415, 18680.4129999, 18681.1336, 18683.3091998
unit.000051, 1, gmx grompp, 18690.4117999, 18686.806, 18686.8425, 18691.5952001, 18692.7823999, 18686.8678999, 18691.6203001, 18687.2429998, 18686.6791999, 18687.2347, 18690.4374998
unit.000083, 1, python, 20334.4611998, 20331.5465999, 20331.5555999, 20335.5274999, 20337.6729999, 20331.5809, 20336.3069999, 20332.2642999, 20331.4196999, 20332.2602999, 20334.4963999
unit.000082, 9, gmx mdrun, 22386.8453999, 20243.4712, 20244.0581999, 22387.5992999, 22388.3878, 20244.0834, 22387.6245, 20245.0382998, 20243.3441, 20245.0353999, 22386.9048998
unit.000081, 1, gmx grompp, 20242.2966998, 20237.1545, 20237.8627, 20242.8343999, 20243.2858, 20237.8878999, 20242.8596001, 20238.7389998, 20237.0267999, 20238.7349, 20242.3183999
unit.000080, 1, python, 20234.8816998, 20230.8381, 20231.6905999, 20235.8794, 20236.9628999, 20231.7156999, 20236.6498001, 20232.6387999, 20230.711, 20232.6341999, 20234.9073999
unit.000087, 1, gmx grompp, 20515.4799998, 20510.5792999, 20511.3933001, 20516.8, 20520.0353, 20511.4184, 20516.8250999, 20511.8448, 20510.4517999, 20511.8397, 20515.4886999
unit.000086, 1, python, 20507.9663999, 20504.2612, 20505.2333999, 20508.9226, 20510.4196999, 20505.2588, 20509.6973999, 20505.7449, 20504.1341, 20505.7385998, 20507.9775999
unit.000085, 5, gmx mdrun, 22847.7012999, 20347.2885001, 20348.0297, 22848.8817, 22849.4057999, 20348.0551, 22848.9068, 20348.7054999, 20347.1612, 20348.7027998, 22847.7368
unit.000084, 1, gmx grompp, 20342.8770998, 20337.8620999, 20338.7737, 20343.9842999, 20347.1296, 20338.7988, 20344.0093999, 20339.4116998, 20337.7349999, 20339.4051998, 20342.9858999
unit.000089, 1, python, 20573.1824999, 20570.4670999, 20571.1382, 20573.5237, 20576.5918, 20571.1633999, 20574.3183, 20571.3642998, 20570.3404999, 20571.3583999, 20573.2198999
unit.000088, 8, gmx mdrun, 22562.6780999, 20520.22, 20520.8387001, 22563.8738, 22565.7830999, 20520.8638999, 22563.8991001, 20521.2122998, 20520.0922, 20521.2087998, 22562.7363999
