uid, ExecutingPending, AgentStagingOutput, PendingInputStaging, FAILED, StagingInput, StagingOutput, Executing, AgentStagingInputPending, Done, AgentStagingOutputPending, AllocatingPending, New, Allocating, AgentStagingInput, PendingOutputStaging, 
unit.000018, 138.931499958, 141.966300249, 137.710700035, 144.416100025, 138.56520009, 143.149699926, 138.945600033, 138.590499878, 143.178299904, 141.840800047, 138.885900021, 137.581899881, 138.931200027, 138.811199903, 142.012700081, 
unit.000019, 138.932500124, 141.848500013, 137.846100092, 144.467000008, 138.615999937, 142.021699905, 138.956200123, 138.64109993, 142.046799898, 141.839100122, 138.938499928, 137.718400002, 138.932300091, 138.886800051, 141.856500149, 
unit.000030, 140.217900038, 142.24360013, 139.453500032, 144.517499924, 139.946000099, 143.38380003, 140.222200155, 139.971100092, 143.408799887, 142.24540019, 140.223599911, 139.325299978, 140.217600107, 140.160399914, 142.25180006, 
unit.000031, 140.274399996, 142.107800245, 139.588700056, 144.568099976, 139.947000027, 143.254800081, 140.278800011, 139.972100019, 143.280200005, 141.942700148, 140.280100107, 139.460999966, 140.274100065, 140.224499941, 142.111900091, 
unit.000036, 145.540800095, 779.018000126, 144.994499922, 798.214099884, 145.235699892, 780.142699957, 145.547800064, 145.260999918, 795.365200043, 779.014700174, 145.546700001, 144.867000103, 145.540499926, 145.539599895, 779.101700068, 
unit.000037, 145.593100071, 791.044300079, 145.130300045, 801.400399923, 145.236200094, 795.39109993, 145.597500086, 145.261600018, 799.694299936, 791.045800209, 145.59890008, 145.002899885, 145.592900038, 145.547499895, 791.096400023, 
unit.000034, 145.477800131, 807.085300207, 144.725500107, 814.194099903, 145.185199976, 807.603899956, 145.482200146, 145.210400105, 811.970900059, 807.086800098, 145.483599901, 144.598099947, 145.477499962, 145.448499918, 807.141900063, 
unit.000033, 145.441900015, 800.968900204, 144.590199947, 811.008300066, 145.129299879, 803.972300053, 145.44630003, 145.15440011, 808.230499983, 800.970300198, 145.447599888, 144.462599993, 145.441600084, 145.382600069, 801.029000044, 
unit.000010, 124.110199928, 133.53000021, 110.040800095, 137.938499928, 110.182100058, 134.605099916, 124.142400026, 110.207099915, 134.630199909, 133.220600128, 124.116400003, 109.609699965, 124.110000134, 124.107599974, 133.581600189, 
unit.000011, 124.118799925, 133.396500111, 110.065999985, 137.58220005, 110.232700109, 134.634500027, 124.15350008, 110.2579, 134.659800053, 133.218800068, 124.124900103, 109.611399889, 124.11860013, 124.1171, 133.405700207, 
unit.000012, 124.049299955, 133.247200012, 109.863800049, 137.633300066, 110.030100107, 134.453000069, 124.069300175, 110.055299997, 134.478100061, 133.217300177, 124.055299997, 109.613100052, 124.049099922, 123.418600082, 133.28760004, 
unit.000013, 124.159800053, 127.30610013, 110.191900015, 130.351300001, 110.334199905, 128.432499886, 124.201300144, 110.359400034, 128.457799911, 127.304500103, 124.165899992, 109.614799976, 124.159600019, 124.15809989, 127.309800148, 
unit.000014, 124.084500074, 133.313600063, 109.965199947, 137.734699965, 110.131099939, 134.554399967, 124.112500191, 110.156199932, 134.579600096, 133.218000174, 124.090600014, 109.616499901, 124.084300041, 124.082000017, 133.352400064, 
unit.000015, 124.151299953, 133.454900026, 110.166599989, 137.477799892, 110.333800077, 134.706500053, 124.191500187, 110.358999968, 134.731800079, 133.219500065, 124.157399893, 109.618099928, 124.15109992, 124.14989996, 133.488300085, 
unit.000016, 131.557300091, 133.822000027, 131.356100082, 137.990799904, 131.379899979, 134.786799908, 131.561800003, 131.405200005, 134.8118999, 133.823600054, 131.562700033, 131.228499889, 131.556999922, 131.531199932, 133.825400114, 
unit.000017, 137.829299927, 141.837300062, 137.575799942, 144.618799925, 137.589400053, 141.994699955, 137.83370018, 137.61439991, 142.019799948, 141.838500023, 137.834899902, 137.447799921, 137.828900099, 137.774100065, 141.847800016, 
unit.000023, 139.08859992, 141.901600122, 138.391200066, 145.025099993, 138.717400074, 142.072400093, 139.092900038, 138.742500067, 142.097500086, 141.839900017, 139.094300032, 138.263600111, 139.08829999, 139.049000025, 141.930400133, 
unit.000057, 818.992000103, 820.551100016, 817.739300013, 824.033499956, 818.452899933, 821.394000053, 819.002500057, 818.478100061, 821.419399977, 820.52670002, 818.997600079, 817.612200022, 818.991699934, 818.989200115, 820.604600191, 
unit.000029, 140.153700113, 801.470800161, 139.318399906, 807.820899963, 139.896399975, 803.255700111, 140.160400152, 139.921600103, 807.578200102, 801.472300053, 140.159600019, 139.188800097, 140.153399944, 140.144099951, 801.527000189, 
unit.000073, 909.08010006, 916.250100136, 907.470799923, 920.272599936, 907.868599892, 917.328000069, 909.086500168, 907.893699884, 919.634599924, 916.249900103, 909.083699942, 907.289299965, 909.079600096, 908.887000084, 916.257800102, 
unit.000056, 818.981699944, 820.524600029, 817.606699944, 823.981300116, 818.40199995, 821.343199968, 818.986100197, 818.427400112, 821.368400097, 820.526100159, 818.987400055, 817.479199886, 818.98149991, 818.977200031, 820.550200224, 
unit.000028, 140.137300014, 142.143600225, 139.180299997, 144.923000097, 139.895299911, 143.332400084, 140.141700029, 139.92050004, 143.358299971, 142.044200182, 140.143100023, 139.049499989, 140.137099981, 140.076299906, 142.187900066, 
unit.000002, 124.143100023, 133.58220005, 110.141499996, 138.04189992, 110.283600092, 134.685300112, 124.182200193, 110.308700085, 134.710500002, 133.221000195, 124.149199963, 109.595400095, 124.14289999, 124.141299963, 133.59100008, 
unit.000052, 808.749799967, 814.107900143, 808.03489995, 820.770900011, 808.076299906, 816.736299992, 808.755200148, 808.101500034, 819.086199999, 814.108500004, 808.754400015, 807.904999971, 808.7493999, 808.672899961, 814.174200058, 
unit.000032, 140.304899931, 142.112600088, 139.72420001, 144.720200062, 139.996700048, 143.281500101, 140.309200048, 140.021899939, 143.306699991, 141.943200111, 140.31069994, 139.596699953, 140.304699898, 140.280999899, 142.115500212, 
unit.000053, 812.921200037, 818.719900131, 811.225300074, 824.085099936, 812.116100073, 820.163300037, 812.926500082, 812.141599894, 822.718300104, 818.720400095, 812.925600052, 811.070600033, 812.920799971, 812.835700035, 818.733700037, 
unit.000069, 892.315099955, 896.109900236, 891.025300026, 897.453299999, 891.317199945, 895.657099962, 892.319400072, 891.342299938, 895.682199955, 896.111500025, 892.320800066, 890.898000002, 892.314800024, 892.29279995, 896.138100147, 
unit.000068, 889.181800127, 890.597200155, 887.717999935, 894.113300085, 888.187000036, 891.500400066, 889.186200142, 888.21239996, 891.525599957, 890.59890008, 889.187599897, 887.589999914, 889.181600094, 889.173300028, 890.628600121, 
unit.000024, 139.119499922, 142.067900181, 138.637900114, 144.821500063, 138.767499924, 143.230700016, 139.123800039, 138.792700052, 143.255800009, 141.842000008, 139.125200033, 138.510699987, 139.119300127, 139.095200062, 142.107100248, 
unit.000061, 825.422199965, 827.045900106, 824.264499903, 830.343400002, 824.713500023, 827.383500099, 825.426500082, 824.739099979, 827.408799887, 827.047500134, 825.427900076, 824.136100054, 825.421900034, 825.414599895, 827.059000015, 
unit.000060, 822.245899916, 823.937400103, 820.959000111, 827.451900005, 821.597599983, 823.908400059, 822.250200033, 821.622699976, 823.933500051, 823.938899994, 822.251699924, 820.831399918, 822.245700121, 822.242300034, 823.949200153, 
unit.000063, 828.403599977, 830.064100027, 827.704600096, 833.554899931, 827.843899965, 830.823800087, 828.421500206, 827.868999958, 830.84890008, 830.056300163, 828.409399986, 827.577100039, 828.403300047, 828.400700092, 830.100200176, 
unit.000062, 828.393199921, 830.05430007, 827.571899891, 833.606100082, 827.807300091, 830.773000002, 828.397500038, 827.832599878, 830.798099995, 830.0558002, 828.398900032, 827.444700003, 828.39289999, 828.388999939, 830.06340003, 
unit.000065, 880.011600018, 885.9854002, 878.083499908, 890.82069993, 878.871399879, 887.098599911, 880.017400026, 878.896500111, 889.421799898, 885.985599995, 880.015599966, 877.92869997, 880.011100054, 879.895800114, 885.994600058, 
unit.000001, 124.100699902, 133.353000164, 110.015500069, 138.14380002, 110.181600094, 134.583400011, 124.132600069, 110.207499981, 134.608999968, 133.218400002, 124.106800079, 109.593400002, 124.100500107, 124.099499941, 133.395800114, 
unit.000067, 886.198800087, 895.10860014, 884.506200075, 900.798000097, 885.106899977, 895.732899904, 886.204900026, 885.132100105, 898.083300114, 895.108500004, 886.202500105, 884.349400043, 886.198300123, 886.048500061, 895.138100147, 
unit.000066, 880.140000105, 886.287700176, 878.249000072, 890.899100065, 878.898799896, 887.343899965, 880.146000147, 878.924000025, 889.65440011, 886.287700176, 880.14380002, 878.093499899, 880.139499903, 880.017999887, 886.309700012, 
unit.000047, 779.022300005, 1442.38100004, 146.50180006, 1458.41140008, 146.517199993, 1442.93829989, 779.027000189, 146.542299986, 1457.90890002, 1442.38240004, 146.79460001, 146.372600079, 146.788700104, 146.745899916, 1442.42250013, 
