uid, ExecutingPending, AgentStagingOutput, PendingInputStaging, FAILED, StagingInput, StagingOutput, Executing, AgentStagingInputPending, Done, AgentStagingOutputPending, AllocatingPending, New, Allocating, AgentStagingInput, PendingOutputStaging, 
unit.000018, 128.829699993, 139.574300051, 119.500000238, 142.098000288, 120.286100149, 141.385100126, 129.325300217, 120.311400175, 141.410200119, 139.416200161, 128.827700138, 115.664500237, 128.829300165, 128.819200039, 139.583099842, 
unit.000019, 128.871500015, 139.583699942, 119.550500154, 142.148600101, 120.337000132, 141.435800076, 129.351100206, 120.36220026, 141.460900068, 139.416600227, 128.869600058, 115.665400267, 128.871200085, 128.838700056, 139.619699955, 
unit.000010, 128.691400051, 144.7572999, 119.170900106, 149.185000181, 119.931300163, 145.796900272, 129.098600149, 119.956300259, 145.82220006, 142.75420022, 128.689400196, 115.657100201, 128.691100121, 128.682200193, 144.79189992, 
unit.000011, 128.730700016, 139.813999891, 119.221500158, 142.199400187, 119.982000113, 141.105700254, 129.131200075, 120.007000208, 141.131200075, 139.520900011, 128.728800058, 115.658000231, 128.730400085, 128.721900225, 139.852200031, 
unit.000012, 128.738800049, 139.467400074, 119.246700287, 142.250000238, 120.032000065, 141.130200148, 129.147300005, 120.057300091, 141.15530014, 139.414800167, 128.736900091, 115.659000158, 128.738500118, 128.730200052, 139.484899998, 
unit.000013, 128.755700111, 139.485499859, 119.2973001, 142.300600052, 120.08280015, 141.181400061, 129.214900017, 120.108000278, 141.206600189, 139.415300131, 128.753800154, 115.659900188, 128.755399942, 128.746600151, 139.546099901, 
unit.000014, 128.771800041, 139.669399977, 119.347800255, 142.351500273, 120.133500099, 141.232200146, 129.255200148, 120.158800125, 141.257500172, 139.417600155, 128.769800186, 115.660900116, 128.771500111, 128.762200117, 139.694700003, 
unit.000015, 128.797399998, 139.546700001, 119.398300171, 142.402200222, 120.184500217, 141.283100128, 129.275500059, 120.209800243, 141.308200121, 139.415700197, 128.795400143, 115.661800146, 128.797100067, 128.785300016, 139.573699951, 
unit.000016, 128.804800034, 139.695299864, 119.423700094, 142.452800274, 120.184900284, 141.309000254, 129.293900013, 120.210300207, 141.334500074, 139.418000221, 128.802900076, 115.662700176, 128.804500103, 128.796200037, 139.704599857, 
unit.000017, 128.8204, 139.852900028, 119.474600077, 142.503200054, 120.236000061, 141.360100269, 129.313800097, 120.261100054, 141.385500193, 139.521300077, 128.818500042, 115.663600206, 128.820100069, 128.810900211, 139.886600018, 
